mutant_index,mr_id,detected_executions,total_executions,detection_rate,source_role,source_path,source_locator,source_sha256
19,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N21,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
19,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O21,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
19,MR6.1,10,10,1.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y21,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
19,MR6.5,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC21,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
20,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N22,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
20,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O22,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
20,MR6.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y22,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
20,MR6.5,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC22,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
21,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N23,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
21,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O23,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
21,MR6.1,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y23,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
21,MR6.5,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC23,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
22,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N24,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
22,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O24,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
22,MR6.1,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y24,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
22,MR6.5,9,10,0.9,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC24,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
23,MR4.1,7,10,0.7,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N25,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
23,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O25,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
23,MR6.1,9,10,0.9,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y25,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
23,MR6.5,10,10,1.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC25,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
24,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N26,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
24,MR4.2,2,10,0.2,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O26,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
24,MR6.1,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y26,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
24,MR6.5,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC26,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
25,MR4.1,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N27,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
